Date,Volume,Symbol,Price,Currency,Fee,Cost,Source
2012-03-10,40.80002699,BTC,12.5,USD,0,510,2015
2013-02-24,33.227,BTC,30.09601,USD,0,1000,2015
2013-05-10,14.2795,BTC,70.03046,USD,0,1000,2015
2013-12-16,10,OMNI,127.3716192,USD,0,1273.72,2015
2015-07-30,1999.946,ETH,0.142745,USD,0,285.48,2015
2015-08-20,371.4,REP,0.62953689,USD,0,233.81,2015
2015-08-27,17.44077669,ETH,1.17143039,USD,0,20.43,2015
2015-08-28,1962.53098769,ETH,1.1488639,USD,0,2254.68,2015
