Date,Action,Symbol,Exchange,Volume,Price,Currency,Fee,FeeCurrency,Total,Cost/Proceeds,ExchangeId,Memo,SymbolBalance,CurrencyBalance,FeeBalance
2015-07-30 12:26:13 +0000,BUY,ETH,ETH ICO,1999.946,0.0005,BTC,0,,-0.999973,0.999973,,,1999.946,99.406527,0
2015-08-20 10:00:00 +0000,BUY,REP,On chain,371.4,0.002692514809,BTC,0,,-1,1,,,371.4,98.406527,0
2015-08-27 20:28:39 +0000,BUY,ETH,Poloniex,17.44077669,0.00518998,BTC,0.0001814,BTC,-0.09033588,0.09069868,,,2017.38677669,98.31582832,0
2015-08-27 22:38:51 +0000,BUY,ETH,Poloniex,1962.53098769,0.00509,BTC,0.0200186,BTC,-9.96926413,10.00930133,,,3979.91776438,88.30652699,0
